datetime,open,high,low,close,volume,money,open_interest
2025-04-03 10:10:00,858.0,858.0,858.0,858.0,1,77220.0,1.0
2025-04-03 11:10:00,848.0,848.0,848.0,848.0,1,76320.0,1.0
2025-04-10 09:05:00,852.0,852.0,852.0,852.0,1,76680.0,2.0
2025-04-11 09:10:00,852.0,852.0,852.0,852.0,1,76680.0,3.0
2025-04-11 09:25:00,853.0,853.0,853.0,853.0,1,76770.0,3.0
2025-04-11 11:10:00,852.0,852.0,852.0,852.0,1,76680.0,4.0
2025-04-11 13:50:00,850.0,850.0,850.0,850.0,1,76500.0,5.0
2025-04-11 14:00:00,858.5,858.5,858.5,858.5,1,77265.0,5.0
2025-04-11 14:05:00,851.5,851.5,851.5,851.5,1,76635.0,4.0
2025-04-11 14:40:00,851.5,851.5,851.5,851.5,1,76635.0,5.0
2025-04-21 13:40:00,838.5,838.5,838.5,838.5,1,75465.0,4.0
2025-04-22 09:00:00,801.5,801.5,801.5,801.5,1,72135.0,4.0
2025-04-22 14:15:00,809.0,809.0,809.0,809.0,1,72810.0,4.0
2025-04-22 14:30:00,820.5,820.5,820.5,820.5,1,73845.0,5.0
2025-04-23 09:30:00,818.0,818.0,818.0,818.0,1,73620.0,6.0
2025-04-23 09:50:00,817.0,817.0,817.0,817.0,1,73530.0,7.0
2025-04-23 10:10:00,813.5,813.5,813.5,813.5,1,73215.0,7.0
2025-04-23 10:50:00,812.0,812.0,812.0,812.0,1,73080.0,7.0
2025-04-23 13:50:00,817.5,817.5,816.0,816.0,2,147015.0,6.0
2025-04-24 09:30:00,809.5,809.5,809.5,809.5,1,72855.0,6.0
2025-04-24 14:25:00,809.5,809.5,809.5,809.5,1,73170.0,6.0
2025-04-29 09:15:00,810.5,810.5,810.5,810.5,1,72945.0,6.0
2025-04-30 13:40:00,809.5,809.5,809.5,809.5,1,72855.0,6.0
2025-05-06 11:00:00,807.0,807.0,807.0,807.0,1,72630.0,5.0
2025-05-07 14:10:00,810.5,810.5,810.5,810.5,1,72945.0,5.0
2025-05-07 14:50:00,814.5,814.5,814.5,814.5,2,146610.0,5.0
2025-05-08 09:25:00,803.5,803.5,803.5,803.5,1,72315.0,5.0
2025-05-08 10:05:00,807.5,807.5,807.5,807.5,1,72675.0,6.0
2025-05-08 11:05:00,808.5,808.5,808.5,808.5,1,72765.0,7.0
2025-05-08 13:45:00,805.0,805.0,805.0,805.0,1,72450.0,7.0
2025-05-08 14:45:00,802.0,802.0,802.0,802.0,1,72180.0,6.0
2025-05-09 10:35:00,803.5,803.5,803.5,803.5,1,72315.0,5.0
2025-05-09 10:50:00,801.5,801.5,801.5,801.5,1,72135.0,5.0
2025-05-13 11:25:00,810.5,812.5,810.5,812.5,2,146070.0,6.0
2025-05-13 13:35:00,814.0,814.0,814.0,814.0,1,73260.0,6.0
2025-05-13 14:10:00,809.5,809.5,809.5,809.5,1,72855.0,5.0
2025-05-14 09:40:00,817.5,817.5,817.5,817.5,1,73575.0,6.0
2025-05-14 11:15:00,814.0,814.0,814.0,814.0,1,73260.0,5.0
2025-05-15 10:55:00,813.5,813.5,813.5,813.5,1,73215.0,5.0
2025-05-15 13:40:00,816.0,816.0,816.0,816.0,1,73440.0,6.0
2025-05-15 14:35:00,813.5,813.5,813.5,813.5,1,73215.0,6.0
2025-05-15 14:45:00,817.5,818.0,817.5,818.0,2,147195.0,8.0
2025-05-15 14:55:00,813.5,813.5,813.5,813.5,1,73215.0,8.0
2025-05-16 09:05:00,816.5,816.5,816.5,816.5,1,73485.0,8.0
2025-05-16 09:20:00,819.5,819.5,819.5,819.5,1,73755.0,8.0
2025-05-22 09:05:00,818.0,818.0,818.0,818.0,1,73620.0,8.0
2025-05-23 14:50:00,818.0,818.0,818.0,818.0,3,220860.0,8.0
2025-05-26 09:10:00,805.0,805.0,805.0,805.0,1,72450.0,8.0
2025-05-26 09:45:00,807.0,807.0,807.0,807.0,1,72630.0,8.0
2025-05-27 14:15:00,825.0,825.0,825.0,825.0,1,74250.0,8.0
2025-05-27 14:20:00,809.5,809.5,809.5,809.5,1,72855.0,8.0
2025-05-28 09:25:00,809.0,809.0,809.0,809.0,1,72810.0,9.0
2025-05-28 09:40:00,812.5,812.5,812.5,812.5,1,73125.0,9.0
2025-05-28 10:05:00,807.5,807.5,807.5,807.5,1,72675.0,10.0
2025-05-28 13:35:00,808.0,808.0,808.0,808.0,1,72720.0,9.0
2025-05-30 13:45:00,808.5,808.5,808.5,808.5,1,72765.0,10.0
2025-06-03 09:35:00,819.0,819.0,819.0,819.0,3,221130.0,12.0
2025-06-04 10:40:00,803.0,803.0,803.0,803.0,1,72270.0,13.0
2025-06-04 13:50:00,803.0,803.0,801.0,801.0,5,360765.0,13.0
2025-06-04 13:55:00,801.0,801.5,801.0,801.5,2,144225.0,13.0
2025-06-04 14:05:00,805.5,805.5,805.5,805.5,1,72495.0,13.0
2025-06-04 14:30:00,806.5,806.5,806.5,806.5,1,72585.0,14.0
2025-06-05 09:50:00,798.0,798.0,798.0,798.0,1,71820.0,14.0
2025-06-05 10:55:00,795.0,795.0,793.0,793.0,3,214290.0,16.0
2025-06-05 11:00:00,793.5,793.5,793.5,793.5,1,71415.0,17.0
2025-06-05 11:05:00,794.5,794.5,794.5,794.5,1,71505.0,18.0
2025-06-05 11:10:00,798.0,798.0,798.0,798.0,1,71820.0,18.0
2025-06-05 11:20:00,794.5,794.5,794.5,794.5,1,71505.0,18.0
2025-06-05 11:25:00,794.5,794.5,794.5,794.5,1,71505.0,19.0
2025-06-05 13:50:00,795.0,795.0,795.0,795.0,2,143100.0,18.0
2025-06-05 14:55:00,795.5,795.5,795.5,795.5,1,71595.0,18.0
2025-06-06 09:10:00,799.0,799.0,797.0,797.0,2,143640.0,19.0
2025-06-06 09:50:00,799.0,800.0,799.0,800.0,2,143910.0,20.0
2025-06-06 09:55:00,804.5,804.5,804.5,804.5,2,144810.0,19.0
2025-06-06 10:10:00,807.5,807.5,807.0,807.0,2,145305.0,21.0
2025-06-06 10:30:00,807.5,807.5,806.0,806.0,2,145215.0,22.0
2025-06-06 10:45:00,805.5,805.5,805.0,805.0,3,217395.0,22.0
2025-06-09 09:10:00,807.0,807.0,805.5,805.5,6,435240.0,28.0
2025-06-09 09:15:00,805.0,805.0,804.5,804.5,4,289755.0,32.0
2025-06-09 10:30:00,808.5,808.5,808.5,808.5,1,72765.0,33.0
2025-06-09 13:35:00,805.5,805.5,805.5,805.5,1,72495.0,32.0
2025-06-09 13:55:00,806.5,806.5,806.5,806.5,1,72585.0,31.0
2025-06-09 14:15:00,806.0,806.0,806.0,806.0,1,72540.0,32.0
2025-06-09 14:20:00,807.0,807.0,807.0,807.0,1,72630.0,31.0
2025-06-10 09:10:00,815.0,816.5,815.0,816.5,2,146835.0,31.0
2025-06-10 09:15:00,817.5,817.5,817.5,817.5,1,73575.0,31.0
2025-06-10 09:20:00,816.5,816.5,815.5,815.5,3,220365.0,34.0
2025-06-10 09:50:00,813.5,813.5,813.5,813.5,1,73215.0,35.0
