datetime,open,high,low,close,volume,money,open_interest
2015-10-21 21:00:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:05:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:10:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:15:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:20:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:25:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:30:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:35:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:40:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:45:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:50:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 21:55:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:00:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:05:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:10:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:15:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:20:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:25:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:30:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:35:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:40:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:45:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:50:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 22:55:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 23:00:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 23:05:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 23:10:00,4704.0,4704.0,4704.0,4704.0,0.0,0.0,0.0
2015-10-21 23:15:00,4704.0,4772.0,4550.0,4772.0,4.0,93240.0,2.0
2015-10-21 23:20:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-21 23:25:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:00:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:05:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:10:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:15:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:20:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:25:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:30:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:35:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:40:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:45:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:50:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 09:55:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:00:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:05:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:10:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:30:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:35:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:40:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:45:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:50:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
2015-10-22 10:55:00,4772.0,4772.0,4772.0,4772.0,0.0,0.0,2.0
