datetime,open,high,low,close,volume,money,open_interest
2022-08-22 09:30:00,7128.6,7136.2,7111.4,7121.4,37.0,52727160.0,36.0
2022-08-22 09:35:00,7124.6,7126.8,7075.2,7090.8,96.0,136310760.0,132.0
2022-08-22 09:40:00,7094.8,7098.6,7070.4,7070.4,32.0,45361280.0,164.0
2022-08-22 09:45:00,7076.0,7116.0,7076.0,7103.6,47.0,66787320.0,205.0
2022-08-22 09:50:00,7108.0,7117.2,7102.8,7112.4,53.0,75357800.0,258.0
2022-08-22 09:55:00,7118.8,7146.8,7113.0,7146.8,21.0,29921360.0,277.0
2022-08-22 10:00:00,7148.0,7155.2,7142.4,7148.8,29.0,41448440.0,305.0
2022-08-22 10:05:00,7153.4,7153.4,7137.8,7137.8,27.0,38593160.0,332.0
2022-08-22 10:10:00,7137.2,7137.2,7123.0,7124.4,16.0,22813440.0,348.0
2022-08-22 10:15:00,7129.4,7138.6,7129.4,7137.2,13.0,18552360.0,361.0
2022-08-22 10:20:00,7142.6,7151.2,7136.6,7151.2,41.0,58562440.0,402.0
2022-08-22 10:25:00,7151.8,7158.0,7142.6,7147.6,47.0,67211160.0,449.0
2022-08-22 10:30:00,7150.2,7155.2,7144.0,7155.2,14.0,20013960.0,463.0
2022-08-22 10:35:00,7155.2,7170.0,7155.2,7170.0,11.0,15770680.0,474.0
2022-08-22 10:40:00,7167.2,7167.2,7155.8,7155.8,19.0,27217880.0,488.0
2022-08-22 10:45:00,7155.4,7155.4,7147.6,7150.8,15.0,21452680.0,503.0
2022-08-22 10:50:00,7157.4,7166.4,7157.4,7162.0,6.0,8592720.0,508.0
2022-08-22 10:55:00,7162.0,7166.8,7162.0,7166.8,1.0,1433360.0,509.0
2022-08-22 11:00:00,7163.2,7163.2,7153.8,7153.8,5.0,7160360.0,513.0
2022-08-22 11:05:00,7156.2,7158.0,7152.6,7155.8,7.0,10018040.0,520.0
2022-08-22 11:10:00,7155.8,7155.8,7155.8,7155.8,0.0,0.0,520.0
2022-08-22 11:15:00,7155.8,7166.8,7155.8,7166.8,3.0,4298640.0,522.0
2022-08-22 11:20:00,7173.2,7183.2,7171.2,7183.2,17.0,24407280.0,538.0
2022-08-22 11:25:00,7186.2,7187.2,7182.0,7182.0,15.0,21555920.0,553.0
2022-08-22 13:00:00,7179.0,7182.0,7171.2,7175.8,13.0,18663440.0,565.0
2022-08-22 13:05:00,7171.8,7173.8,7163.8,7168.6,12.0,17207280.0,577.0
2022-08-22 13:10:00,7172.0,7178.0,7172.0,7173.6,5.0,7174560.0,582.0
2022-08-22 13:15:00,7173.0,7175.0,7172.0,7174.0,8.0,11478640.0,590.0
2022-08-22 13:20:00,7174.2,7185.2,7173.6,7185.2,30.0,43067320.0,620.0
2022-08-22 13:25:00,7186.2,7186.2,7181.0,7181.0,11.0,15805880.0,631.0
2022-08-22 13:30:00,7190.8,7193.8,7181.6,7181.8,19.0,27308680.0,649.0
2022-08-22 13:35:00,7180.0,7180.0,7173.0,7173.0,9.0,12918120.0,658.0
2022-08-22 13:40:00,7168.2,7170.4,7161.8,7161.8,16.0,22933720.0,674.0
2022-08-22 13:45:00,7162.0,7162.0,7153.0,7160.2,17.0,24331280.0,689.0
2022-08-22 13:50:00,7164.6,7171.8,7164.6,7168.6,11.0,15768640.0,700.0
2022-08-22 13:55:00,7169.6,7177.0,7169.6,7176.4,8.0,11478680.0,708.0
2022-08-22 14:00:00,7176.4,7177.4,7176.4,7177.2,4.0,5741800.0,712.0
2022-08-22 14:05:00,7178.4,7196.2,7178.4,7191.8,11.0,15812800.0,721.0
2022-08-22 14:10:00,7189.0,7190.8,7182.2,7187.6,7.0,10063440.0,728.0
2022-08-22 14:15:00,7187.0,7188.2,7183.2,7186.6,17.0,24429560.0,745.0
2022-08-22 14:20:00,7188.4,7198.0,7188.4,7194.0,10.0,14387840.0,754.0
2022-08-22 14:25:00,7192.8,7202.0,7191.6,7202.0,6.0,8633160.0,760.0
2022-08-22 14:30:00,7201.4,7202.8,7196.2,7196.2,24.0,34558840.0,784.0
2022-08-22 14:35:00,7197.8,7197.8,7195.0,7195.0,8.0,11514920.0,787.0
2022-08-22 14:40:00,7192.8,7192.8,7185.0,7187.8,16.0,23000080.0,800.0
2022-08-22 14:45:00,7187.8,7190.2,7187.8,7190.2,2.0,2875600.0,802.0
2022-08-22 14:50:00,7188.8,7188.8,7183.8,7187.0,26.0,37366560.0,827.0
2022-08-22 14:55:00,7183.2,7187.0,7176.2,7180.2,34.0,48832040.0,857.0
2022-08-23 09:30:00,7175.0,7199.6,7175.0,7196.4,57.0,81945240.0,823.0
2022-08-23 09:35:00,7196.0,7200.8,7184.0,7189.0,39.0,56089840.0,823.0
2022-08-23 09:40:00,7182.4,7195.4,7182.4,7195.4,25.0,35943200.0,827.0
2022-08-23 09:45:00,7192.0,7201.8,7190.4,7196.8,43.0,61878120.0,816.0
2022-08-23 09:50:00,7198.2,7203.4,7193.6,7193.6,28.0,40315960.0,816.0
2022-08-23 09:55:00,7190.0,7201.4,7190.0,7200.6,13.0,18713040.0,817.0
2022-08-23 10:00:00,7203.0,7205.6,7189.0,7198.6,45.0,64761280.0,827.0
2022-08-23 10:05:00,7198.6,7198.6,7182.6,7191.0,14.0,20125440.0,832.0
2022-08-23 10:10:00,7193.8,7193.8,7188.8,7188.8,4.0,5752960.0,830.0
